imagen,condicion,NIQE,BRISQUE,Ma,MUSIQ,PI
low-resolution-photographs_img173,Original degradada,8.772431713806544,11.70635986328125,8.169170379638672,44.343814849853516,5.301630667083936
low-resolution-photographs_img173,Pipeline preentrenado,2.8332054075166204,9.0206298828125,8.677409172058105,61.19032669067383,2.0778981177292577
low-resolution-photographs_img173,Pipeline ajustado,2.9532756015227766,11.21893310546875,7.279510974884033,59.98307800292969,2.8368823133193715
low-resolution-photographs_img179,Original degradada,3.189242646997329,-1.28070068359375,7.053803443908691,28.608182907104492,3.0677196015443187
low-resolution-photographs_img179,Pipeline preentrenado,3.7932978970349964,13.44610595703125,5.561953067779541,34.01586151123047,4.115672414627728
low-resolution-photographs_img179,Pipeline ajustado,3.7313225287791254,12.45587158203125,5.8492751121521,37.12926483154297,3.941023708313513
low-resolution-photographs_img18,Original degradada,3.1591062009760806,10.893310546875,8.764989852905273,52.97682571411133,2.1970581740354036
low-resolution-photographs_img18,Pipeline preentrenado,3.720998466464174,12.50408935546875,7.8858208656311035,66.16280364990234,2.917588800416535
low-resolution-photographs_img18,Pipeline ajustado,3.6734991923044116,10.66766357421875,6.567756175994873,64.00233459472656,3.5528715081547695
low-resolution-photographs_img20,Original degradada,4.7481790552906515,34.4588623046875,8.42620849609375,35.48308563232422,3.1609852795984508
low-resolution-photographs_img20,Pipeline preentrenado,6.058152932724972,44.560546875,4.559913635253906,38.555606842041016,5.749119648735533
low-resolution-photographs_img20,Pipeline ajustado,4.944539909141617,27.6036376953125,4.5804595947265625,45.16218948364258,5.182040157207528
low-resolution-photographs_img22,Original degradada,4.081582286571693,23.2576904296875,8.792094230651855,55.16090393066406,2.6447440279599186
low-resolution-photographs_img22,Pipeline preentrenado,3.0398601958994313,11.6033935546875,6.637817859649658,66.58753204345703,3.2010211681248864
low-resolution-photographs_img22,Pipeline ajustado,3.3009845501407784,10.779052734375,6.635642051696777,65.88470458984375,3.3326712492220008
low-resolution-photographs_img23,Original degradada,4.197359424495232,11.153564453125,8.749581336975098,52.458614349365234,2.7238890437600674
low-resolution-photographs_img23,Pipeline preentrenado,3.663053595386586,13.84765625,6.775964260101318,64.52523803710938,3.443544667642634
low-resolution-photographs_img23,Pipeline ajustado,3.656037578818203,9.93218994140625,6.639211654663086,64.0686264038086,3.508412962077559
low-resolution-photographs_img24,Original degradada,3.755962625186189,10.218994140625,8.976122856140137,58.662227630615234,2.3899198845230263
low-resolution-photographs_img24,Pipeline preentrenado,3.9375209623264125,17.8626708984375,4.90653657913208,52.80187225341797,4.515492191597167
low-resolution-photographs_img24,Pipeline ajustado,4.1360518695719275,13.119873046875,4.767868518829346,55.0396614074707,4.684091675371291
low-resolution-photographs_img25,Original degradada,5.651478470890503,23.7740478515625,8.830970764160156,47.404361724853516,3.410253853365173
low-resolution-photographs_img25,Pipeline preentrenado,3.038693483400681,9.728271484375,7.068689823150635,54.75970458984375,2.9850018301250234
low-resolution-photographs_img25,Pipeline ajustado,3.825833092307833,1.67156982421875,6.8853583335876465,56.8313102722168,3.4702373793600936
low-resolution-photographs_img3,Original degradada,5.385808426587017,43.5562744140625,4.182063102722168,58.52125930786133,5.601872661932425
low-resolution-photographs_img3,Pipeline preentrenado,8.408466511959695,31.96429443359375,4.597105026245117,40.15211486816406,6.905680742857289
low-resolution-photographs_img3,Pipeline ajustado,8.052878114878116,24.7872314453125,4.613822937011719,40.37558364868164,6.7195275889331985
low-resolution-photographs_img34,Original degradada,2.667583401382027,14.913818359375,5.895290851593018,54.72305679321289,3.3861462748945046
low-resolution-photographs_img34,Pipeline preentrenado,3.0749016322396616,28.98358154296875,6.150584697723389,60.30025863647461,3.4621584672581367
low-resolution-photographs_img34,Pipeline ajustado,3.3485799789132997,40.16015625,5.638771057128906,58.303016662597656,3.8549044608921967
low-resolution-photographs_img37,Original degradada,3.081891281272034,15.3299560546875,6.76526403427124,49.64105224609375,3.158313623500397
low-resolution-photographs_img37,Pipeline preentrenado,2.928471983302683,7.5223388671875,6.252089023590088,60.956417083740234,3.3381914798562975
low-resolution-photographs_img37,Pipeline ajustado,3.210952838245248,9.7138671875,6.296549320220947,58.22848129272461,3.4572017590121504
low-resolution-photographs_img38,Original degradada,3.0760290866607627,25.44122314453125,6.4104790687561035,63.047428131103516,3.3327750089523294
low-resolution-photographs_img38,Pipeline preentrenado,4.374491499336525,23.569091796875,4.81677770614624,50.1769905090332,4.778856896595142
low-resolution-photographs_img38,Pipeline ajustado,5.204130207228032,26.36248779296875,4.545370578765869,41.17562484741211,5.329379814231082
low-resolution-photographs_img40,Original degradada,3.110935917265821,14.95428466796875,8.887277603149414,58.82331085205078,2.1118291570582035
low-resolution-photographs_img40,Pipeline preentrenado,3.8728625883005083,8.78997802734375,5.598767280578613,59.69935989379883,4.1370476538609475
low-resolution-photographs_img40,Pipeline ajustado,4.358426700130622,4.51165771484375,5.759564399719238,60.683921813964844,4.299431150205692
low-resolution-photographs_img6,Original degradada,4.612698669337863,24.05084228515625,7.501930236816406,65.890380859375,3.5553842162607285
low-resolution-photographs_img6,Pipeline preentrenado,3.4031001825336915,8.53851318359375,7.005444526672363,65.10083770751953,3.198827827930664
low-resolution-photographs_img6,Pipeline ajustado,3.7507233394181507,11.78924560546875,6.19423246383667,61.538047790527344,3.7782454377907406
low-resolution-photographs_img98,Original degradada,2.673620933883232,17.72216796875,6.949260711669922,64.12127685546875,2.862180111106655
low-resolution-photographs_img98,Pipeline preentrenado,3.8742253788710244,17.07733154296875,5.103682994842529,40.81361389160156,4.3852711920142475
low-resolution-photographs_img98,Pipeline ajustado,4.144588542156282,15.80755615234375,5.1486735343933105,39.07185745239258,4.497957503881485
